Energy ptcls
1	0
2	0
3	0
4	0
5	971
6	2353
7	1353
8	1386
9	983
10	514
11	1309
12	949
13	1014
14	1003
15	922
16	798
17	703
18	612
19	589
20	534
21	581
22	548
23	488
24	504
25	488
26	512
27	329
28	460
29	477
30	424
31	454
32	401
33	379
34	395
35	310
36	425
37	391
38	396
39	387
40	363
41	310
42	367
43	368
44	358
45	344
46	333
47	352
48	289
49	341
50	340
51	322
52	356
53	377
54	304
55	374
56	393
57	353
58	381
59	408
60	356
61	431
62	432
63	415
64	430
65	407
66	413
67	462
68	461
69	466
70	491
71	518
72	465
73	528
74	538
75	513
76	538
77	512
78	518
79	563
80	561
81	517
82	577
83	515
84	531
85	552
86	518
87	536
88	553
89	505
90	553
91	520
92	522
93	542
94	497
95	483
96	535
97	522
98	522
99	500
100	493
101	490
102	480
103	458
104	457
105	457
106	515
107	438
108	456
109	447
110	422
111	440
112	432
113	424
114	420
115	448
116	378
117	407
118	442
119	409
120	409
121	425
122	409
123	383
124	383
125	341
126	345
127	386
128	381
129	379
130	350
131	351
132	332
133	359
134	379
135	375
136	386
137	364
138	337
139	359
140	326
141	344
142	327
143	301
144	320
145	326
146	323
147	320
148	295
149	296
150	317
151	297
152	291
153	324
154	271
155	283
156	314
157	287
158	290
159	294
160	257
161	293
162	265
163	261
164	237
165	280
166	272
167	227
168	268
169	262
170	266
171	259
172	230
173	232
174	244
175	242
176	267
177	247
178	266
179	250
180	226
181	247
182	226
183	245
184	260
185	241
186	246
187	201
188	239
189	231
190	220
191	247
192	220
193	223
194	210
195	227
196	231
197	202
198	219
199	213
200	216
201	213
202	227
203	206
204	214
205	213
206	218
207	199
208	215
209	196
210	237
211	219
212	201
213	178
214	219
215	213
216	193
217	201
218	170
219	193
220	207
221	190
222	202
223	209
224	220
225	186
226	187
227	179
228	188
229	173
230	167
231	208
232	187
233	169
234	188
235	162
236	215
237	204
238	184
239	172
240	165
241	190
242	180
243	198
244	163
245	167
246	149
247	186
248	166
249	178
250	166
251	186
252	167
253	168
254	157
255	168
256	192
257	146
258	139
259	166
260	161
261	168
262	165
263	137
264	138
265	154
266	161
267	132
268	169
269	141
270	137
271	135
272	152
273	163
274	166
275	166
276	145
277	142
278	138
